John Gabriel Pinone, 19/02/1961, Hartford, CT, 00/00/0000
Elvin Dennis Ivory, 02/07/1948, Birmingham, AL, 00/00/0000
Edwin John Kachan, 15/09/1925, Chicago, IL, 07/03/1993
Lionel James Simmons, 14/11/1968, Philadelphia, PA, 00/00/0000
Ronald Bruce Boone, 06/09/1946, Oklahoma City, OK, 00/00/0000
Marcus Terrell Thornton, 05/06/1987, Baton Rouge, LA, 00/00/0000
Meyer Bloom, 14/01/1915, New York, NY, 05/06/1993
Dennis Boyd, 21/05/1954, Portsmouth, VA, 00/00/0000
Maurice Martin, 02/07/1964, Liberty, NY, 00/00/0000
Bryon Demetrise Russell, 31/12/1970, San Bernardino, CA, 00/00/0000
Merrill Smith Hubbard, 19/10/1925, St. Paul, MN, 03/12/2002
George Joseph Sutor, 14/09/1943, Philadelphia, PA, 29/08/2011
Ronald F. Kozlicki, 12/12/1944, Chicago, IL, 00/00/0000
Elmer H. Behnke, 03/02/1929, Rockford, IL, 00/00/0000
Kelly Coleman, 21/09/1938, Wayland, KY, 00/00/0000
Lewis Kevin Lloyd, 22/02/1959, Philadelphia, PA, 00/00/0000
Mark Anthony Jones, 10/04/1961, Rochester, NY, 00/00/0000
Major James Brooks Jones, 09/07/1953, McGehee, AR, 00/00/0000
William Felton Russell, 12/02/1934, Monroe, LA, 00/00/0000
Mark Jones, 25/05/1975, Milwaukee, WI, 00/00/0000
Dirk DeWayne Minniefield, 17/01/1961, Lexington, KY, 00/00/0000
Wesley Cox, 27/01/1955, Louisville, KY, 00/00/0000
Joseph A. Wright, 05/09/1950, Savannah, GA, 00/00/0000
Raymond Lee Tolbert, 10/09/1958, Anderson, IN, 00/00/0000
Tony F. White, 15/02/1965, Charlotte, NC, 00/00/0000
Ralph M. Polson, 26/10/1929, Riverside, CA, 00/00/0000
Daniel Gregg Santiago, 24/06/1976, Lubbock, TX, 00/00/0000
Ralph English Bishop, 01/10/1915, Brooklyn, NY, 00/00/0000
Christen Guilford Dudley, 22/02/1965, Stamford, CT, 00/00/0000
Charles Dudley, 05/03/1950, Harrisburg, PA, 00/00/0000
Michael George Williams, 14/08/1963, Chicago, IL, 00/00/0000
Micheal Douglas Williams, 23/07/1966, Dallas, TX, 00/00/0000
William McNeil Jones, 03/02/1914, Toledo, OH, 09/04/2006
Milton Williams, 22/11/1945, Seattle, WA, 00/00/0000
Willard L. Sojourner, 10/09/1948, Philadelphia, PA, 20/10/2005
Zelmo Beaty, 25/10/1939, Hillister, TX, 00/00/0000
Scott Richard Haffner, 02/02/1966, Terre Haute, IN, 00/00/0000
Tyrone Curtis Bogues, 09/01/1965, Baltimore, MD, 00/00/0000
Kenneth W. Gunning, 04/06/1914, (ht) Shelbyville, IN, 02/04/1991
Delbert Rice, 27/10/1922, Portsmouth, OH, 26/01/1983
Stanley Washington, 23/01/1952, Washington, DC, 00/00/0000
Oscar Palmer Robertson, 24/11/1938, Charlotte, TN, 00/00/0000
Jerry Reynolds, 23/12/1962, Brooklyn, NY, 00/00/0000
Gregory Wayne Anderson, 22/06/1964, Houston, TX, 00/00/0000
Luther D. Burden, 28/02/1953, Haines City, FL, 00/00/0000
Joseph Xavier Forte, 23/03/1981, Atlanta, GA, 00/00/0000
James L. Bailey, 21/05/1957, Dublin, GA, 00/00/0000
Munden Guy Morgan, 23/08/1960, Virginia Beach, VA, 00/00/0000
Rick Daniel Brunson, 14/06/1972, Syracuse, NY, 00/00/0000
Alvin Harold Carlson, 17/09/1951, Oceanside, CA, 00/00/0000
Joe DePre, 19/12/1947, Westbury, NY, 00/00/0000
